video_id,comment,published_at
9e5M1bDvhTA,BIARPUN LARI PASTI JUGA AKAN DI BURU LU🤣🤣🤣🤣🤣🤣,2025-09-08T22:58:16Z
9e5M1bDvhTA,Saya kecewa dgn institusi TNI!,2025-09-08T22:57:44Z
9e5M1bDvhTA,Ini yg di takutkan masarakat sifil dari dulu udah wanti wanti,2025-09-08T22:56:44Z
9e5M1bDvhTA,nyari² kesalahan sipil 😂,2025-09-08T22:56:27Z
9e5M1bDvhTA,udah jelas kan kalo rezim ini juga anti kritik? wkwk,2025-09-08T22:55:54Z
9e5M1bDvhTA,Ini orang songong,2025-09-08T22:51:52Z
9e5M1bDvhTA,"Cara mengalihkan program gagal pemerintah memang top

Issue ijaxah palsu sudah mulai reda, maka demo2 dibiarkan dan tokoh2 provokatornya di buru,  media rame tidak fokus mengawal program2 pemerintah",2025-09-08T22:51:21Z
9e5M1bDvhTA,"Hadapi saja hukum dengan sikap.lelaki dewasa

Saya sendiri menyesalkan kenapa anda bersikap seperti provokator demo 

Tidak usah banyak ngomong",2025-09-08T22:47:28Z
9e5M1bDvhTA,Gw bingung pidana apaan ya ?,2025-09-08T22:46:25Z
9e5M1bDvhTA,Itu yang jadi pihak pemerintah di patroli saiber dong. Kenapa yang di patroli rakyat mulu kapan pemerintah dipatroli?,2025-09-08T22:37:22Z
9e5M1bDvhTA,Kau GK ada manfaat nya .kau sampah pery,2025-09-08T22:36:16Z
9e5M1bDvhTA,"POLISI SUDAH RUSAK
TENTARA SUDAH RUSAK
KULTUR TRADISI DAN PERILAKU POLITIKNYA SUDAH BURUK
SUDAH MIRIP TANGAN KANAN DAN KIRINYA PENJAJAH",2025-09-08T22:31:51Z
9e5M1bDvhTA,Terlalu sombong😮,2025-09-08T22:23:46Z
9e5M1bDvhTA,"Hadapi saja bang pidana apa yang dituduhkan, kita lihat negara ini kelihatan tambah bobrok.",2025-09-08T22:17:30Z
9e5M1bDvhTA,Ya Alloh masih banyak anak muda2 Indonesia yg sangat cerdas pasti berani karena jujur lanjutkan bang Irwandi Rakyat di belakang mu Alloh akan melindungimu ❤❤,2025-09-08T22:16:11Z
9e5M1bDvhTA,Kita bersama Bang Ferry,2025-09-08T22:14:36Z
9e5M1bDvhTA,Keren lu fer👍,2025-09-08T22:13:00Z
9e5M1bDvhTA,Tetap semangat bang fery,2025-09-08T22:10:17Z
9e5M1bDvhTA,selamet d duo sukses bosman manTRIGU😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2025-09-08T22:06:16Z
9e5M1bDvhTA,Kami rakyat mendukung mu bang,2025-09-08T22:05:19Z
9e5M1bDvhTA,Tangkap dia biar pinter,2025-09-08T22:01:50Z
9e5M1bDvhTA,Jangan salahkan rakyat jika suatau hari nanti melawan TNI 😁😀😀😁😀😁,2025-09-08T21:51:12Z
9e5M1bDvhTA,Sudah lihat berita tempo,2025-09-08T21:48:59Z
9e5M1bDvhTA,Para Penimbun BBM SOLAR SUBSIDI DI LAMPUNG aman jendral,2025-09-08T21:45:08Z
9e5M1bDvhTA,"Apa rezim Sengaja mengesahkan revisi UU TNI karna gak kompeten urus negara, kalau chaos ngandelin militer",2025-09-08T21:42:26Z
9e5M1bDvhTA,Mau Mengulang tragedi munir? Siap siap revolusi prancis di Indonesia,2025-09-08T21:41:56Z
9e5M1bDvhTA,"Blunder sih

ini malah jadi bikin ferry makin terkenal

dan membuat rakyat mempertanyakan posisi TNI untuk rakyat",2025-09-08T21:40:47Z
9e5M1bDvhTA,"Jendral yg menurunkan harga dirinya sendiri,",2025-09-08T21:37:47Z
9e5M1bDvhTA,Ok siap berbuat siap bertanggung jawab mantap,2025-09-08T21:37:41Z
9e5M1bDvhTA,"kalau ada bukti dan lengkap yah tangkap saja , tapi jangan main main kalau tidak ada bukti yg valid, memang cara mengambil simpati dan berlindung adalah dengan megambil simpati lewat media sosial  tinggal adu argumentasi dengan bukti , negara tidak usah takut bila itu meresahkan dan ada bukti sebaliknya juga warga jgn takut kalau itu menyuarakan fakta  , tinggal hukum bagaimana berjalan itu TUGAS POLISI SEBAGAI PENYELIDIK  apakah demi kepentingan negara atau mengkambing hitam kan yg lain ?",2025-09-08T21:33:09Z
9e5M1bDvhTA,Apakah ada yg tersinggung dengan statement bung fery,2025-09-08T21:32:56Z
9e5M1bDvhTA,kenapa,2025-09-08T21:28:50Z
9e5M1bDvhTA,"Sebenarnya simple untuk menghindari , kalau mau mengoreksi atau apalah  , insitusi bidang kemanan  1,2,3 orang harus ada kata kata oknum mungkin lebih aman.",2025-09-08T21:27:27Z
9e5M1bDvhTA,INDONESIA MENUJU ORBA JILID DUA,2025-09-08T21:26:22Z
9e5M1bDvhTA,Jendral nya mau sekongkol sama polisi makanya konsultasi langsung kepolisian,2025-09-08T21:24:00Z
9e5M1bDvhTA,Banyak yang bersama anda bang,2025-09-08T21:21:05Z
9e5M1bDvhTA,Jgn suka menuduh nuduh feri jangan suka bikin opini so pinter nant kalo disuruh buktikan bingung jgn suka so pinter so hebat,2025-09-08T21:18:51Z
9e5M1bDvhTA,Si ferry gemetaran,2025-09-08T21:15:06Z
9e5M1bDvhTA,"SI JENDRAL NGOMONG SANGAT GUGUP, MENDAPAT PREINTAH ENGGAK MASUK DIAKALNYA.",2025-09-08T20:56:53Z
9e5M1bDvhTA,"Kok bisa ya rakyat membiaya mata mata yang memata-matai rakyat.
😂😂😂",2025-09-08T20:52:28Z
9e5M1bDvhTA,"TNI DARI RAKYAT DAN KEMBALI UNTUK RAKYAT PRETTT, UNTUK KEPENTINGAN PENJABAT KALI",2025-09-08T20:50:58Z
9e5M1bDvhTA,"Jendral knpa bergetar ngomongnya??ada apa jendral?? Apakah marah,ragu atau tremor?? Nanya dengan nada halus sehalus halusnya",2025-09-08T20:33:56Z
9e5M1bDvhTA,"Jendral knpa bergetar ngomongnya??ada apa jendral?? Apakah marah,ragu atau tremor?? Nanya dengan nada halus sehalus halusnya",2025-09-08T20:33:32Z
9e5M1bDvhTA,Harus di kawal rakyat hati hati bang ferry,2025-09-08T20:27:33Z
9e5M1bDvhTA,Video hoak bais tni ditngkp brimob narasiny fitanah,2025-09-08T20:20:42Z
9e5M1bDvhTA,Tangkap,2025-09-08T20:19:50Z
9e5M1bDvhTA,"Militer itu harusnya seperi ""Robot"" tidak lebay ! 🤣",2025-09-08T20:17:18Z
9e5M1bDvhTA,TNI MAJU TERUS.  JAGA KEDAULATAN NKRI,2025-09-08T20:17:06Z
9e5M1bDvhTA,"kalo masyarakat salah TNI LAPOR ke POLISI, tapi kalo TNI salah kita lapor ke TNI, lucu gak sih ?😂",2025-09-08T20:12:57Z
9e5M1bDvhTA,Ganti panglima #,2025-09-08T20:11:15Z
9e5M1bDvhTA,Jendral opo😂tuh urus papua tuh😂,2025-09-08T19:49:16Z
9e5M1bDvhTA,"Bikin se ""TRANSPARAN"" mungkin!!!!!!!!",2025-09-08T19:45:04Z
9e5M1bDvhTA,RAKYAT AKAN SELALU MEMANTAU SETIAP TINDAKAN SEMUA APARATUR KEAMANAN NEGARA !!!!  SEKRANG TNI APAKAH SUDAH MULAI COBA COBA INGIN MENJADI PENGKHIANAT RAKYAT SEPERTI KEJADIAN DEMO 1998 ' lagi ?!?!?!?,2025-09-08T19:37:53Z
9e5M1bDvhTA,Udah keblinger ini negara 😂😅 mending makan gorengan aja kedepannya 😋,2025-09-08T19:34:16Z
9e5M1bDvhTA,"Langsung di adu sama TNI
Sejak kapan tentara berubah fungsi menjadi seperti polisi",2025-09-08T19:31:45Z
9e5M1bDvhTA,Makin kesini akan banyak yang berfikir tentang kebenaran yang dikatakannya.,2025-09-08T19:27:57Z
9e5M1bDvhTA,Kenapa sih para pejabat selalu menyalahkan rakyatnya. Bukankah Mereka kita gaji untuk melindungi kita sebagai rakyat.,2025-09-08T19:17:53Z
9e5M1bDvhTA,"Adili juga jendrral yg omon omon, feri itu jlas menyuarakan kepentingan rakyat",2025-09-08T19:16:14Z
9e5M1bDvhTA,Kualitas siber TNI perlu dievaluasi.,2025-09-08T19:13:43Z
9e5M1bDvhTA,😂😂😂 parah2,2025-09-08T19:04:35Z
9e5M1bDvhTA,So paling pintar orng ini  angkuh ny kebangetan.😅,2025-09-08T19:04:34Z
9e5M1bDvhTA,"Pak, kalian ada Deddy Corbuzier yang tahu Ferry Irwandi untuk bertemu dan kontakan. Kemarin pihak TV bisa ngundang Ferry juga loh. Aneh banget, masa divisi cyber tidak bisa berhubungan sama Ferry Irwandi. Kalo mau tahu gmn dan dimana berhubungan sama Ferry mudah loh caranya",2025-09-08T19:04:34Z
9e5M1bDvhTA,"Sangkin gk ada celah untuk serang ferry. 

Mereka pun menggunakan taktik lama. 

Tapi menurut gw mending berhenti sih karna kalau lu gagal bukan nama lu aja yg jelek tapi TNI OQKSOSKSOWKAOWK",2025-09-08T19:03:57Z
9e5M1bDvhTA,Cengengesan pertanda tegang n takuuutttt 😅😅😅😅😅 mampus,2025-09-08T19:00:49Z
9e5M1bDvhTA,KURUNG YG LAMA MANUSIA 1BL15 INI!!!,2025-09-08T18:52:19Z
9e5M1bDvhTA,Hapuskan RUU TNI yang baru,2025-09-08T18:38:40Z
9e5M1bDvhTA,"bahan intropeksi utk bang Ferry dlm ger.revolusi :
""Ketika motivasi berkembang mjd ambisi, cita-cita yg dikejar menjadikan dia jd tersasar.""",2025-09-08T18:38:21Z
9e5M1bDvhTA,lawak ni siber,2025-09-08T18:32:34Z
9e5M1bDvhTA,Orang ini terlalu merasa paling pintar dan merasa paling berjasa dan congkak,2025-09-08T18:31:35Z
9e5M1bDvhTA,Playing victim aparat. Cari kambing hitam yg nga punya duit dan kekuasaan,2025-09-08T18:30:54Z
9e5M1bDvhTA,Mulai kapan TNI jd penyelidik dan menyelidiki ttg rakyat biasa,2025-09-08T18:30:40Z
9e5M1bDvhTA,Fery EMG bukan kaleng2 sih keberaniannya patut di acungi jempol 👍👍👍 tapi kan dia cuma menyuarakan aspirasi rakyat saja hmmm 🤔🤔🤔 kok baper 😂😂😂 bukankah kita SDH sepakat utk mencari dalang demo dan provokator dilapangan 🤔🤔🤔 knpa malah bukti dari Fery dijadikan martil bagi dirinya dia 🤔🤔🤔 bukankah bukti itu harusnya di buka y ke publik biar rakyat tau bukan yg ngasih bukti di ancam 🙃🙃🙃,2025-09-08T18:27:36Z
9e5M1bDvhTA,Menantang hukum,2025-09-08T18:26:30Z
9e5M1bDvhTA,"hukum hukum hukum, wkwkwkw negara makin lama malah makin lawak, hukum hanya berlaku bagi rakyat dan mereka yg tidak punya uang saja hahaha",2025-09-08T18:25:25Z
9e5M1bDvhTA,"Irwandi salah masuk bui
Jendral salah ngawur buikan juga..adilikan 😂😂😂",2025-09-08T18:24:14Z
9e5M1bDvhTA,Begitu to 🤔,2025-09-08T18:22:43Z
9e5M1bDvhTA,"Lantang amat tu nyebut nama, giliran yg lain aja disebut inisial 😂
Huuuuuuuuuu lawak",2025-09-08T18:22:00Z
9e5M1bDvhTA,Klo tidak terbukti pak jendralnya wajib di PTDH dan hukum mati krn nuduh2 = makar 😂,2025-09-08T18:21:57Z
9e5M1bDvhTA,Tidak pidana penculikan diskriminasi terhadap aktivis 😂 otoriter,2025-09-08T18:18:48Z
9e5M1bDvhTA,Masuk program deradikalisasi..moga cpt sembuh bang.,2025-09-08T18:15:59Z
